date,mem_util_percent,net_in,net_out,disk_io_percent,OT
130,85,32.47,23.09,1,11
190,84,32.47,23.09,1,9
260,84,32.47,23.09,2,10
330,85,32.47,23.09,2,10
410,89,32.47,23.1,2,25
420,90,32.47,23.1,6,27
440,90,32.47,23.1,6,31
540,86,32.47,23.1,5,24
550,87,32.47,23.1,5,23
610,86,32.47,23.1,3,26
870,84,32.47,23.1,3,23
890,83,32.47,23.1,3,23
1100,87,32.48,23.1,5,27
1130,88,32.48,23.1,5,31
1290,88,32.48,23.11,4,26
1380,87,32.48,23.11,2,25
1390,87,32.48,23.11,2,29
1410,86,32.48,23.11,2,25
1610,88,32.49,23.11,2,32
1630,89,32.49,23.11,1,32
1650,89,32.49,23.11,1,36
1850,86,32.49,23.11,2,28
1870,87,32.49,23.11,2,29
1880,88,32.49,23.11,2,29
2000,86,32.49,23.11,2,24
2100,83,32.49,23.11,2,20
2180,81,32.49,23.11,2,15
2450,84,32.5,23.12,2,22
2610,88,32.5,23.12,3,22
2720,84,32.51,23.12,2,22
2730,84,32.51,23.12,2,21
2750,84,32.51,23.12,2,20
3190,84,32.51,23.12,2,31
3280,82,32.51,23.12,1,26
3400,84,32.51,23.12,2,28
3450,85,32.51,23.12,2,26
3460,85,32.51,23.12,2,29
3700,85,32.52,23.13,3,30
3720,85,32.52,23.13,3,29
3820,88,32.52,23.13,2,32
3880,89,32.52,23.13,2,33
3900,90,32.52,23.13,2,32
4060,86,32.52,23.13,4,23
4070,87,32.52,23.13,4,23
4260,84,32.52,23.13,2,24
4290,84,32.52,23.13,2,17
4450,85,32.52,23.13,1,16
4590,87,32.52,23.13,3,30
4850,84,32.53,23.14,3,37
4910,81,32.53,23.14,5,31
5030,83,32.53,23.14,3,29
5110,79,32.53,23.14,4,36
5160,80,32.53,23.14,3,37
5170,79,32.53,23.14,3,34
5200,79,32.53,23.14,3,34
5300,82,32.53,23.14,4,33
5320,78,32.53,23.14,4,28
5390,80,32.54,23.14,4,31
5600,83,32.54,23.14,1,42
5700,82,32.54,23.15,2,34
5840,80,32.54,23.15,1,31
5950,79,32.55,23.15,4,29
6050,76,32.55,23.15,3,23
6080,76,32.55,23.15,2,25
6150,75,32.55,23.15,3,20
6160,76,32.55,23.15,3,23
6200,76,32.55,23.15,1,22
6290,78,32.55,23.15,2,33
6410,78,32.55,23.15,2,25
6610,81,32.55,23.15,2,31
6980,79,32.56,23.16,2,28
7030,79,32.56,23.16,3,29
7060,78,32.56,23.16,3,25
7120,78,32.56,23.16,7,24
7180,79,32.56,23.16,9,24
7400,82,32.57,23.16,3,31
7460,80,32.57,23.16,1,29
7490,81,32.57,23.16,1,32
7620,84,32.57,23.17,2,35
7770,91,32.57,23.17,4,32
7910,88,32.58,23.17,17,51
7950,76,32.58,23.17,18,37
8070,79,32.58,23.17,4,42
8090,77,32.58,23.17,4,39
8160,77,32.58,23.17,8,42
8340,75,32.58,23.18,3,39
8440,74,32.59,23.18,4,27
8480,73,32.59,23.18,6,23
8510,73,32.59,23.18,6,22
8590,73,32.59,23.18,3,24
8660,74,32.59,23.18,4,25
8760,73,32.59,23.18,3,21
9040,74,32.59,23.18,4,28
9180,72,32.6,23.19,6,39
9190,72,32.6,23.19,6,38
9200,71,32.6,23.19,6,29
9260,70,32.6,23.19,4,25
9580,71,32.6,23.19,5,25
10100,70,32.61,23.19,2,22
10200,69,32.61,23.19,3,29
10240,69,32.61,23.19,3,30
10270,69,32.61,23.19,2,26
10500,71,32.61,23.2,1,23
10560,73,32.62,23.2,2,21
10720,71,32.62,23.2,3,22
10950,73,32.62,23.2,2,27
11000,74,32.62,23.2,3,29
